group,score
Control,98
Control,102
Control,95
Control,110
Control,99
Control,104
Control,97
Control,101
Control,106
Control,93
Control,108
Control,100
Control,96
Control,103
Control,107
Control,99
Control,101
Control,95
Control,104
Control,98
Control,102
Control,100
Control,97
Control,105
Control,99
Treatment,115
Treatment,109
Treatment,118
Treatment,112
Treatment,120
Treatment,107
Treatment,114
Treatment,111
Treatment,116
Treatment,108
Treatment,119
Treatment,113
Treatment,117
Treatment,110
Treatment,115
Treatment,112
Treatment,108
Treatment,116
Treatment,114
Treatment,118
Treatment,111
Treatment,113
Treatment,109
Treatment,117
Treatment,115
