group,success
GroupA,1
GroupA,0
GroupA,1
GroupA,1
GroupA,0
GroupA,1
GroupA,1
GroupA,0
GroupA,1
GroupA,0
GroupA,1
GroupA,1
GroupA,0
GroupA,1
GroupA,1
GroupA,0
GroupA,1
GroupA,0
GroupA,0
GroupA,1
GroupA,1
GroupA,1
GroupA,0
GroupA,1
GroupA,0
GroupA,1
GroupA,1
GroupA,0
GroupA,1
GroupA,1
GroupA,0
GroupA,1
GroupA,0
GroupA,1
GroupA,1
GroupA,0
GroupA,1
GroupA,1
GroupA,0
GroupA,1
GroupB,1
GroupB,1
GroupB,1
GroupB,0
GroupB,1
GroupB,1
GroupB,1
GroupB,0
GroupB,1
GroupB,1
GroupB,1
GroupB,1
GroupB,0
GroupB,1
GroupB,1
GroupB,1
GroupB,0
GroupB,1
GroupB,1
GroupB,1
GroupB,1
GroupB,0
GroupB,1
GroupB,1
GroupB,1
GroupB,1
GroupB,1
GroupB,0
GroupB,1
GroupB,1
GroupB,1
GroupB,1
GroupB,0
GroupB,1
GroupB,1
GroupB,1
GroupB,0
GroupB,1
GroupB,1
GroupB,1
